!27Na (5/2+, 3/2+, 1/2+)  -> 27Mg     beta-decay,   with screening effects
!USDB      Q=9.069 MeV
!Experimental data are used.
!
!Log(rhoY) Log(T)  dQ     Vs      mu       e-cap-rate    nu-energy-loss  gamma-energy
!                 (MeV)     (MeV)     (MeV)       (1/s)             (MeV/s)        (MeV/s)  
1.148154e+08 6.309573e+08 -1.038213e-07 3.207564e-08 4.058642e-06 2.328681e+00 1.446010e-05 3.706221e-06
1.148154e+08 7.079458e+08 -1.029401e-07 3.207564e-08 4.057200e-06 2.348984e+00 1.462384e-05 3.676896e-06
1.148154e+08 7.943282e+08 -1.019948e-07 3.207564e-08 4.055118e-06 2.368482e+00 1.478160e-05 3.648810e-06
1.148154e+08 8.912509e+08 -1.010014e-07 3.207564e-08 4.052554e-06 2.386932e+00 1.493108e-05 3.622274e-06
1.148154e+08 1.000000e+09 -9.994399e-08 3.207564e-08 4.049350e-06 2.404252e+00 1.507201e-05 3.597421e-06
1.148154e+08 1.122018e+09 -9.883848e-08 3.207564e-08 4.045344e-06 2.420304e+00 1.520377e-05 3.574549e-06
1.148154e+08 1.258925e+09 -9.766889e-08 3.207564e-08 4.040217e-06 2.435230e+00 1.532644e-05 3.553541e-06
1.148154e+08 1.412538e+09 -9.641919e-08 3.207564e-08 4.033809e-06 2.448950e+00 1.544085e-05 3.534690e-06
1.148154e+08 1.584893e+09 -9.512143e-08 3.207564e-08 4.025637e-06 2.461614e+00 1.554788e-05 3.517882e-06
1.148154e+08 1.778279e+09 -9.375957e-08 3.207564e-08 4.015544e-06 2.473318e+00 1.564845e-05 3.503251e-06
1.148154e+08 1.995262e+09 -9.233363e-08 3.207564e-08 4.002726e-06 2.484220e+00 1.574386e-05 3.490851e-06
1.148154e+08 2.238721e+09 -9.082758e-08 3.207564e-08 3.986704e-06 2.494480e+00 1.583658e-05 3.480818e-06
1.148154e+08 2.511886e+09 -8.925745e-08 3.207564e-08 3.966357e-06 2.504436e+00 1.592874e-05 3.473212e-06
1.148154e+08 2.818383e+09 -8.762322e-08 3.207564e-08 3.940882e-06 2.514317e+00 1.602549e-05 3.468177e-06
1.148154e+08 3.162278e+09 -8.592491e-08 3.207564e-08 3.908678e-06 2.524701e+00 1.612543e-05 3.466182e-06
1.148154e+08 3.548134e+09 -8.416252e-08 3.207564e-08 3.868143e-06 2.536121e+00 1.624469e-05 3.467299e-06
1.148154e+08 3.981072e+09 -8.233603e-08 3.207564e-08 3.817194e-06 2.549412e+00 1.637990e-05 3.472013e-06
1.148154e+08 4.466836e+09 -8.042944e-08 3.207564e-08 3.753267e-06 2.565370e+00 1.655051e-05 3.480738e-06

1.202264e+08 1.000000e+07 -1.173757e-07 3.255630e-08 4.125774e-06 2.133634e+00 1.287364e-05 3.962336e-06
1.202264e+08 1.584893e+07 -1.170553e-07 3.255630e-08 4.125614e-06 2.133143e+00 1.286949e-05 3.961241e-06
1.202264e+08 2.511886e+07 -1.166387e-07 3.255630e-08 4.125453e-06 2.132063e+00 1.286060e-05 3.958962e-06
1.202264e+08 3.981072e+07 -1.160619e-07 3.255630e-08 4.125293e-06 2.130591e+00 1.284788e-05 3.955681e-06
